weight_class	home_name	away_name	home_points	away_points	total_points	home_win	point_diff
141	Raymond Adams	John Hildebrandt	2	3	5	FALSE	1
197	Kael Bennie	Angelo Posada	4	5	9	FALSE	1
285	Jack Forbes	Jackson Mankowski	10	3	13	TRUE	7
125	Koda Holeman	Jacob Macatangay	20	8	28	TRUE	12
133	Anthony Lucio	Blake Boarman	2	8	10	FALSE	6
141	Zeth Romney	Greyson Clark	6	5	11	TRUE	1
149	Andre Gonzales	Gavin Brown	1	4	5	FALSE	3
157	Jagger French	Stoney Buell	0	2	2	FALSE	2
165	Luke Gayer	Joey Blaze	4	19	23	FALSE	15
174	Cash Stewart	Brody Baumann	4	8	12	FALSE	4
184	Ceasar Garza	James Rowley	10	7	17	TRUE	3
197	Cole Jackson	Ben Vanadia	4	11	15	FALSE	7
285	Trevor Tinker	Hayden Filipovich	9	3	12	TRUE	6
125	Andrew Binni	Tyler Chappell	4	1	5	TRUE	3
285	Connor Barket	Brendan Gilchrist	19	2	21	TRUE	17
197	Owen McGrory	Chris DeLana	6	10	16	FALSE	4
184	Gaetano Console	Eric Wolf	21	5	26	TRUE	16
174	Aiden Wallace	Aidan Zarrella	5	4	9	TRUE	1
165	Aurelius Dunbar	AJ Falcone	4	2	6	TRUE	2
157	Mikey Boulanger	Felix Lettini	6	7	13	FALSE	1
149	Sean O'Donnell	Dakota Asuncion	5	17	22	FALSE	12
133	John King	Braxton Appello	2	18	20	FALSE	16
184	Caleb Uhlenhopp	Abe Wojcikiewicz	12	6	18	TRUE	6
125	Riley Rowan	Joey Clem	2	0	2	TRUE	2
174	Tanner Lofthouse	Collin Guffey	0	2	2	FALSE	2
157	Mark Takara	EJ Parco	16	19	35	FALSE	3
149	Kaemen Smith	Kade Brown	3	17	20	FALSE	14
157	Jonathan Ley	Vince Bouzakis	2	4	6	FALSE	2
165	Dylan Elmore	Dylan Evans	1	9	10	FALSE	8
174	Danny Wask	Luca Augustine	6	5	11	TRUE	1
184	Daniel Williams	Chase Kranitz	2	4	6	FALSE	2
197	Payton Thomas	Mac Stout	2	5	7	FALSE	3
285	Spencer Lanogsa	Dayton Pitzer	5	0	5	TRUE	5
125	Nicolar Rivera	Ezekiel Witt	14	6	20	TRUE	8
133	Zan Fugitt	Tristan Daugherty	4	3	7	TRUE	1
141	Carson Exferd	Michael Olson	0	3	3	FALSE	3
149	Joseph Zargo	Brayden Canoyer	17	1	18	TRUE	16
157	Luke Mechler	Gavin Drexler	4	1	5	TRUE	3
165	Julian George	Tyler Secoy	8	2	10	TRUE	6
174	Lucas Condon	Max Magayna	13	4	17	TRUE	9
184	Cale Anderson	Aidan Brenot	13	9	22	TRUE	4
197	Wyatt Ingham	Devin Wasley	19	4	23	TRUE	15
125	Bridger Ricks	Edwin Sierra	7	4	11	TRUE	3
133	Geronimo Rivera	Tyler Knox	4	8	12	FALSE	4
141	Haiden Drury	Jack Consiglio	5	1	6	TRUE	4
149	David Evans	Aden Valencia	13	8	21	TRUE	5
165	Zyon Trujillo	Jason Mara	10	2	12	TRUE	8
141	Caedyn Ricciardi	Briar Priest	10	3	13	TRUE	7
133	Brendan Ferretti	Evan Tallmadge	3	6	9	FALSE	3
285	Mason Cover	Hayden Filipovich	1	6	7	FALSE	5
174	Eric Alderfer	Nate Blanchette	6	5	11	TRUE	1
165	Braidon Woodward	Ryan Ford	4	13	17	FALSE	9
184	Chris Neal	James Rowley	4	20	24	FALSE	16
149	Dustin Elliott	Andrew Clark	3	9	12	FALSE	6
133	Gavin Mundy	Dylan Shawver	6	22	28	FALSE	16
