dual_id,event_date,team_id,team_name,team_rank,team_score,opponent_id,opponent_name,opponent_rank,opponent_score,result,score_diff,year,month,day,formatted_date
280,2025-11-01,24,Duke,72,19,67,Sacred Heart,76,18,Win,1,2025,11,1,2025-11-01
280,2025-11-01,67,Sacred Heart,76,18,24,Duke,72,19,Loss,-1,2025,11,1,2025-11-01
281,2025-11-01,27,Pittsburgh,19,20,68,Navy,21,12,Win,8,2025,11,1,2025-11-01
281,2025-11-01,68,Navy,21,12,27,Pittsburgh,19,20,Loss,-8,2025,11,1,2025-11-01
282,2025-11-01,18,Wisconsin,31,36,62,North Dakota State,33,3,Win,33,2025,11,1,2025-11-01
282,2025-11-01,62,North Dakota State,33,3,18,Wisconsin,31,36,Loss,-33,2025,11,1,2025-11-01
283,2025-11-01,70,Utah Valley,36,19,23,Stanford,11,12,Win,7,2025,11,1,2025-11-01
283,2025-11-01,23,Stanford,11,12,70,Utah Valley,36,19,Loss,-7,2025,11,1,2025-11-01
284,2025-11-01,20,Purdue,32,19,64,Cal Poly,47,13,Win,6,2025,11,1,2025-11-01
284,2025-11-01,64,Cal Poly,47,13,20,Purdue,32,19,Loss,-6,2025,11,1,2025-11-01
276,2025-11-02,12,Rutgers,16,37,60,Gardner-Webb,67,5,Win,32,2025,11,2,2025-11-02
276,2025-11-02,60,Gardner-Webb,67,5,12,Rutgers,16,37,Loss,-32,2025,11,2,2025-11-02
277,2025-11-02,12,Rutgers,16,37,8,Bloomsburg,68,2,Win,35,2025,11,2,2025-11-02
277,2025-11-02,8,Bloomsburg,68,2,12,Rutgers,16,37,Loss,-35,2025,11,2,2025-11-02
278,2025-11-02,60,Gardner-Webb,67,18,8,Bloomsburg,68,16,Win,2,2025,11,2,2025-11-02
278,2025-11-02,8,Bloomsburg,68,16,60,Gardner-Webb,67,18,Loss,-2,2025,11,2,2025-11-02
279,2025-11-02,20,Purdue,32,39,10,CSU Bakersfield,70,3,Win,36,2025,11,2,2025-11-02
279,2025-11-02,10,CSU Bakersfield,70,3,20,Purdue,32,39,Loss,-36,2025,11,2,2025-11-02
275,2025-11-06,17,Iowa,2,40,77,Bellarmine,54,0,Win,40,2025,11,6,2025-11-06
275,2025-11-06,77,Bellarmine,54,0,17,Iowa,2,40,Loss,-40,2025,11,6,2025-11-06
272,2025-11-07,19,Nebraska,3,33,75,Army West Point,28,3,Win,30,2025,11,7,2025-11-07
272,2025-11-07,75,Army West Point,28,3,19,Nebraska,3,33,Loss,-30,2025,11,7,2025-11-07
273,2025-11-07,52,Oklahoma State,5,33,23,Stanford,11,7,Win,26,2025,11,7,2025-11-07
273,2025-11-07,23,Stanford,11,7,52,Oklahoma State,5,33,Loss,-26,2025,11,7,2025-11-07
274,2025-11-07,28,Virginia Tech,13,19,46,Bucknell,35,12,Win,7,2025,11,7,2025-11-07
274,2025-11-07,46,Bucknell,35,12,28,Virginia Tech,13,19,Loss,-7,2025,11,7,2025-11-07
254,2025-11-08,6,Ohio,55,44,51,Morgan State,77,2,Win,42,2025,11,8,2025-11-08
254,2025-11-08,51,Morgan State,77,2,6,Ohio,55,44,Loss,-42,2025,11,8,2025-11-08
255,2025-11-08,8,Bloomsburg,68,27,9,Campbell,74,9,Win,18,2025,11,8,2025-11-08
255,2025-11-08,9,Campbell,74,9,8,Bloomsburg,68,27,Loss,-18,2025,11,8,2025-11-08
256,2025-11-08,61,The Citadel,64,19,8,Bloomsburg,68,18,Win,1,2025,11,8,2025-11-08
256,2025-11-08,8,Bloomsburg,68,18,61,The Citadel,64,19,Loss,-1,2025,11,8,2025-11-08
257,2025-11-08,21,NC State,7,30,49,Northern Colorado,61,3,Win,27,2025,11,8,2025-11-08
257,2025-11-08,49,Northern Colorado,61,3,21,NC State,7,30,Loss,-27,2025,11,8,2025-11-08
258,2025-11-08,13,Illinois,10,24,33,Rider,41,12,Win,12,2025,11,8,2025-11-08
258,2025-11-08,33,Rider,41,12,13,Illinois,10,24,Loss,-12,2025,11,8,2025-11-08
259,2025-11-08,12,Rutgers,16,24,68,Navy,21,12,Win,12,2025,11,8,2025-11-08
259,2025-11-08,68,Navy,21,12,12,Rutgers,16,24,Loss,-12,2025,11,8,2025-11-08
260,2025-11-08,15,Lehigh,18,21,22,Virginia,40,17,Win,4,2025,11,8,2025-11-08
