wrestler_name,team_name,rank,team_rank,weight_classes,total_matches,total_wins,total_losses,win_rate,bonus_wins,bonus_rate,tf_wins,md_wins,fall_wins,dec_wins,avg_opponent_rank,avg_points_scored,avg_point_diff,std_point_diff
William Morrow,Bloomsburg,206,75,[157],22,3,19,13.6,1,4.5,1,0,0,2,113.41,2.68,-2.77,5.2
Mason Rebuck,Bloomsburg,53,75,[285],20,15,5,75,10,50,2,2,6,5,127.85,8.17,3.92,8.62
Noah Mulvaney,Bucknell,32,36,[165],20,17,3,85,7,35,3,3,1,10,93,9.22,5.33,6.26
Jordan Soriano,Drexel,60,44,[141],20,14,6,70,7,35,0,2,5,7,112.05,7.31,2.23,6.22
Jesse Mendez,Ohio State,1,2,[141],19,19,0,100,17,89.5,9,3,5,2,57.37,16.64,12.36,4.25
Ibrahim Ameer,Drexel,86,44,[197],19,10,9,52.6,8,42.1,4,3,1,2,101.79,9.83,2.44,10.48
Ethan Wilson,Drexel,92,44,[184],19,10,9,52.6,8,42.1,4,2,2,2,104.47,8.71,0.88,10.85
Christopher Minto,Nebraska,3,6,[174],19,15,4,78.9,7,36.8,2,5,0,8,37.11,9.11,5.42,5.77
Joseph Giordano,Gardner-Webb,85,65,[157],19,10,9,52.6,8,42.1,1,7,0,2,119.53,7.84,2.63,8.42
Ryan Bolletino,Campbell,152,69,[174],19,5,14,26.3,3,15.8,1,1,1,2,97,5.08,-2.46,8.96
Camden McDanel,Nebraska,13,6,[197],19,15,4,78.9,5,26.3,2,3,0,10,45.79,8.68,4.37,6.25
Ben Davino,Ohio State,4,2,[133],19,18,1,94.7,12,63.2,9,2,1,6,63,13.17,9.89,5.73
Kyle Waterman,Drexel,76,44,[133],19,9,10,47.4,6,31.6,3,1,2,3,84.37,8.5,1.19,8.89
Cody Walsh,Drexel,46,44,"[165, 174]",18,13,5,72.2,6,33.3,0,5,1,7,109.89,6.76,1.94,7.71
Max Brignola,Lehigh,9,16,[165],18,14,4,77.8,9,50,6,2,1,5,52.61,12,7.06,7.83
Brendon Abdon,Rider,68,35,[165],18,6,12,33.3,5,27.8,1,1,3,1,65.11,5.08,-4.08,8.93
Ryan Jack,NC State,17,12,[141],18,12,6,66.7,8,44.4,2,3,3,4,72.78,8.27,3.2,7.79
TK Davis,Gardner-Webb,14,65,"[133, 141]",18,18,0,100,15,83.3,9,4,2,3,128.22,16.56,12.12,4.21
Teague Strobel,Hofstra,73,68,[125],18,7,11,38.9,5,27.8,5,0,0,2,94.67,8.31,0.56,11.2
Dylan Layton,Rider,34,35,[149],18,14,4,77.8,8,44.4,4,2,2,6,102.56,9.6,6.33,6.77
Michael Caliendo,Iowa,2,5,[165],18,15,3,83.3,11,61.1,6,3,2,4,41.94,12.88,7.56,7.95
Brock Hardy,Nebraska,3,6,[141],18,14,4,77.8,10,55.6,6,0,4,4,35.39,10.54,6,9.93
Tyler Bienus,Bucknell,42,36,[184],18,11,7,61.1,4,22.2,1,3,0,7,64.33,5.61,1.78,6.76
Brant Cracraft,Campbell,149,69,[184],18,5,13,27.8,0,0,0,0,0,5,89.44,3.28,-5.94,6.44
Kade Sottolano,Lock Haven,62,39,[285],18,11,7,61.1,5,27.8,2,1,2,6,91.94,5.93,2.53,6.46
Logan Heil,Campbell,96,69,[133],18,8,10,44.4,4,22.2,1,3,0,4,85.72,6.22,-1.56,9.54
Julian Farber,Northern Iowa,32,25,[133],18,12,6,66.7,8,44.4,3,3,2,4,53.61,10.19,3.12,9.64
Braidon Woodward,Bloomsburg,97,75,"[165, 184]",18,5,13,27.8,2,11.1,0,1,1,3,96.61,4,-2.56,6.16
Joshua McCutchen,Gardner-Webb,95,65,"[197, 285]",18,9,9,50,4,22.2,1,3,0,5,97.94,6.17,0.44,8.67
Ayden Smith,Rutgers,35,8,[125],18,10,8,55.6,1,5.6,0,0,1,9,50.06,4.29,0.24,3.78
Anderson Heap,Davidson,52,70,[149],18,13,5,72.2,4,22.2,3,1,0,9,118.78,7.22,2.61,8.04
Marley Washington,Davidson,217,70,"[141, 157]",18,2,16,11.1,1,5.6,0,0,1,1,108.33,2.31,-8.54,6.27
Brock Zurawski,Rider,19,35,[197],18,15,3,83.3,11,61.1,5,4,2,4,79.06,12.12,7.12,8.95
Kade Davidheiser,Bucknell,109,36,[125],18,6,12,33.3,4,22.2,2,2,0,2,71.33,7.62,-1.38,9.82
Raymond Adams,Duke,161,72,[141],18,3,15,16.7,1,5.6,1,0,0,2,91.78,3.24,-5.41,7.92
Luke Cochran,Central Michigan,61,43,[197],17,12,5,70.6,6,35.3,1,5,0,6,88.35,10.81,4.69,8.46
Nick Blackburn,Central Michigan,108,43,[141],17,7,10,41.2,3,17.6,0,3,0,4,105,4.18,-1.12,6.44
Lucas Condon,Wisconsin,57,22,[174],17,7,10,41.2,3,17.6,1,1,1,4,59.94,5.44,-2.12,8.49
Nicolar Rivera,Wisconsin,15,22,[125],17,13,4,76.5,5,29.4,2,3,0,8,65.88,10.29,5.29,5.68
Wyatt Ingham,Wisconsin,24,22,[197],17,12,5,70.6,8,47.1,3,3,2,4,47.41,9,4.47,8.68
Braxton Amos,Wisconsin,12,22,[285],17,14,3,82.4,10,58.8,1,4,5,4,63.65,7.5,5.58,6.37
Joseph Zargo,Wisconsin,26,22,[149],17,14,3,82.4,8,47.1,6,1,1,6,91.88,12.12,7,7.46
Aiden Wallace,Duke,33,72,[174],17,14,3,82.4,3,17.6,1,1,1,11,93.29,5.88,3.25,5.34
Zan Fugitt,Wisconsin,12,22,[133],17,13,4,76.5,8,47.1,2,4,2,5,65.76,8.6,4.73,7.44
Nick Feldman,Ohio State,5,2,[285],17,13,4,76.5,7,41.2,5,1,1,6,39.47,8.75,5.31,7.43
Myles Takats,Bucknell,15,36,[174],17,13,4,76.5,9,52.9,2,6,1,4,60.12,10.06,5.62,6.89
Antrell Taylor,Nebraska,3,6,[157],17,15,2,88.2,9,52.9,5,2,2,6,31.65,9.87,5.67,8.72
Wyatt Henson,Lock Haven,21,39,[141],17,15,2,88.2,13,76.5,9,3,1,2,101.82,15.94,10.12,7.47
Dylan Shawver,Rutgers,35,8,[133],17,11,6,64.7,5,29.4,2,2,1,6,73.53,7.31,3.12,6.78
Jace Schafer,Bloomsburg,66,75,[125],17,10,7,58.8,7,41.2,2,3,2,3,96.29,7.07,2.8,7.64
Shane Cartagena-Walsh,Rutgers,14,8,[184],17,12,5,70.6,10,58.8,4,4,2,2,72,11.93,5.07,10.1
Hadyn Danals,Gardner-Webb,153,65,"[184, 197]",17,2,15,11.8,1,5.9,0,1,0,1,72.65,3.85,-3.69,5.45
Tucker Hogan,Lock Haven,54,39,[197],17,10,7,58.8,4,23.5,3,1,0,6,79.47,7.29,2.53,7.99
Ryder Downey,Northern Iowa,6,25,"[165, 174]",17,14,3,82.4,5,29.4,2,3,0,9,61.12,8.41,5.65,6.09
Eric Washington,Morgan State,178,77,[197],17,1,16,5.9,0,0,0,0,0,1,90.12,3,-11.58,5.68
Will Denny,NC State,8,12,[165],17,15,2,88.2,7,41.2,2,4,1,8,71.06,9.56,4.75,6.26
