dual_id,weight_class,event_date,home_wrestler_id,home_name,home_rank,away_wrestler_id,away_name,away_rank,home_win,win_type,Result,home_class,home_team_name,away_class,away_team_name
280,141,11/1/2025,267,Raymond Adams,160,825,John Hildebrandt,98,FALSE,LDEC,LDEC 3 - 2,JR,Duke,JR,Sacred Heart
283,197,11/1/2025,878,Kael Bennie,46,263,Angelo Posada,20,FALSE,LDEC,LDEC 5 - 4,SO,Utah Valley,FR,Stanford
283,285,11/1/2025,879,Jack Forbes,62,429,Jackson Mankowski,182,TRUE,WDEC,WDEC 10 - 3,SR,Utah Valley,SO,Stanford
284,125,11/1/2025,784,Koda Holeman,40,530,Jacob Macatangay,69,TRUE,WMD,WMD 20 - 8,JR,Cal Poly,JR,Purdue
284,133,11/1/2025,785,Anthony Lucio,245,226,Blake Boarman,57,FALSE,LDEC,LDEC 8 - 2,RSFR,Cal Poly,SR,Purdue
284,141,11/1/2025,1260,Zeth Romney,14,531,Greyson Clark,53,TRUE,WTB,WTB-1 6 - 5,JR,Cal Poly,JR,Purdue
284,149,11/1/2025,787,Andre Gonzales,42,228,Gavin Brown,39,FALSE,LSV,LSV-1 4 - 1,SR,Cal Poly,JR,Purdue
284,157,11/1/2025,1218,Jagger French,77,229,Stoney Buell,48,FALSE,LDEC,LDEC 2 - 0,RSFR,Cal Poly,SR,Purdue
284,165,11/1/2025,789,Luke Gayer,185,230,Joey Blaze,4,FALSE,LTF,LTF5 19 - 4 7:00,JR,Cal Poly,JR,Purdue
284,174,11/1/2025,790,Cash Stewart,62,231,Brody Baumann,28,FALSE,LDEC,LDEC 8 - 4,JR,Cal Poly,JR,Purdue
284,184,11/1/2025,791,Ceasar Garza,27,232,James Rowley,28,TRUE,WDEC,WDEC 10 - 7,JR,Cal Poly,JR,Purdue
284,197,11/1/2025,792,Cole Jackson,133,233,Ben Vanadia,28,FALSE,LDEC,LDEC 11 - 4,SR,Cal Poly,SR,Purdue
284,285,11/1/2025,793,Trevor Tinker,22,234,Hayden Filipovich,55,TRUE,WDEC,WDEC 9 - 3,SR,Cal Poly,SR,Purdue
281,125,11/1/2025,836,Andrew Binni,37,294,Tyler Chappell,33,TRUE,WDEC,WDEC 4 - 1,FR,Navy,SO,Pittsburgh
