wrestler_id,name,Class,Team
1,Bowen Downey,SO,Northern Iowa
2,Julian Farber,SR,Northern Iowa
3,Max Brady,FR,Northern Iowa
4,Ethan Basile,SR,Northern Iowa
5,Cael Rahnavardi,SR,Northern Iowa
6,Ryder Downey,JR,Northern Iowa
7,Izzy Moreno,SO,Northern Iowa
8,Nick Fox,SO,Northern Iowa
9,John Gunderson,JR,Northern Iowa
10,Adam Ahrendson,SR,Northern Iowa
11,Brady Roark,SO,South Dakota State
12,Cale Seaton,RSFR,South Dakota State
13,Julian Tagg,SR,South Dakota State
14,Logan Swensen,RSFR,South Dakota State
15,Cael Swensen,JR,South Dakota State
16,Jacob Herm,FR,South Dakota State
17,Moses Espinoza-Owens,SO,South Dakota State
18,Brock Fettig,JR,South Dakota State
19,Bennett Berge,JR,South Dakota State
20,Luke Rasmussen,JR,South Dakota State
21,Desmond Pleasant,SR,Drexel
22,Kyle Waterman,SR,Drexel
23,Jordan Soriano,SR,Drexel
24,Deon Pleasant,SR,Drexel
25,Luke Nichter,SR,Drexel
26,Cody Walsh,SR,Drexel
27,Jasiah Queen,SO,Drexel
28,Ethan Wilson,JR,Drexel
29,Ibrahim Ameer,SR,Drexel
30,Nate Schon,JR,Drexel
31,Trever Anderson,JR,Northern Iowa
32,Cory Land,JR,Northern Iowa
33,Jared Simma,SR,Northern Iowa
34,Blake West,SR,Northern Illinois
35,Markel Baker,JR,Northern Illinois
36,Charles Curtis,RSFR,Northern Illinois
37,Lucan O’Brien,RSFR,Northern Illinois
39,Brett Smith,SO,Northern Illinois
40,Tommy Bennett,JR,Northern Illinois
41,Caleb Roe,JR,Northern Illinois
42,Dominic Heim,SO,Northern Illinois
43,Devon Dawson,RSSR,Northern Illinois
44,Archer Anderson,FR,Central Michigan
45,Andrew Austin,JR,Central Michigan
46,Nick Blackburn,RSFR,Central Michigan
47,Jimmy Nugent,RSJR,Central Michigan
48,Mason Shrader,SR,Central Michigan
49,Chandler Amaker,SR,Central Michigan
50,Brayden Gautreau,SO,Central Michigan
51,Adrien Cramer,SR,Central Michigan
52,Luke Cochran,SO,Central Michigan
53,Bryan Caves,SR,Central Michigan
54,Jarrett Wadsen,FR,South Dakota State
55,Quin Morgan,RSFR,South Dakota State
56,Micah Hach,FR,South Dakota State
57,Nick Marienfeld,JR,Central Michigan
58,Brayden Teunissen,FR,Ohio
59,Ryan Meek,JR,Ohio
60,Abe Hermes,FR,Ohio
61,Sam Bustamante,FR,Ohio
62,Dom Serio,FR,Ohio
63,Jack Lledo,JR,Ohio
64,Garrett Thompson,SR,Ohio
65,Sal Perrine,RSSR,Ohio
66,Zayne Lehman,RSSR,Ohio
67,Wyatt Schmitt,RSFR,Ohio
68,Logan Brzozowski,SO,Harvard
69,Coleman Nogle,JR,Harvard
70,Sidney Tildsley,FR,Harvard
71,Jack Crook,JR,Harvard
72,Jimmy Harrington,SR,Harvard
73,Joseph Cangro,JR,Harvard
74,Ben Smith,FR,Harvard
75,Matthew Walsh,JR,Harvard
76,Hudson Skove,SO,Harvard
77,Logan Marissal,JR,Harvard
78,Cameron Chinavare,RSFR,Central Michigan
79,Aidan Fockler,RSFR,Central Michigan
80,Paul Woo,SR,Ohio
81,Gavin Martin,FR,Bloomsburg
82,Gavin Mundy,FR,Bloomsburg
83,Richie Wood,FR,Bloomsburg
84,Jay Chase,FR,Bloomsburg
85,William Morrow,SR,Bloomsburg
86,Vasilios Dimou,FR,Bloomsburg
87,Connor Hudak,FR,Bloomsburg
88,Coy Raines,RSFR,Bloomsburg
89,Mason Rebuck,SO,Bloomsburg
90,Garret Rinken,SO,Northern Iowa
91,Caleb Rathjen,SR,Northern Iowa
92,Jack Thomsen,SR,Northern Iowa
93,CJ Walrath,SO,Northern Iowa
94,Carson Babcock,SR,Northern Iowa
95,Grant Stromberg,RSFR,Northern Iowa
96,Logan Heil,SR,Campbell
97,Zander Phaturos,JR,Campbell
98,Jonathan Chang,RSFR,Campbell
